solar da,solar ac
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6.772552198,8.573887325
28.47995639,34.62014053
55.09497531,64.2083859
79.48464353,98.33798428
86.76235911,109.9984126
73.03887575,97.24212334
50.70860731,50.25900459
24.08481565,13.52171043
1.761126754,1.087819265
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.959244375,0.733985579
7.300378481,6.463313254
15.07740895,10.73782887
21.34845307,13.74175989
24.31802421,18.49000326
23.3786104,16.48470202
18.45929868,9.767710483
8.867773981,5.287766629
0.930641078,0.408663286
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.029334358,0.372110219
3.305128291,5.613088922
6.137259899,14.37778325
9.155081085,21.15837713
11.24226119,26.66400003
10.88988963,19.33657228
8.99351653,13.06699028
4.531849209,6.200131173
0.612629398,0.848031147
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.273692653,5.910630885
14.1518853,26.48781425
21.60871091,49.60031832
25.83570754,51.19110779
27.2583529,61.21615186
23.31208382,41.42851473
15.40273125,29.74542356
5.751259514,21.33529397
0.712053739,2.273600749
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.296994711,1.179932993
7.161476827,6.61464295
12.47044423,15.10226504
16.19739492,23.08033737
17.02861165,28.25259631
15.30842433,25.27790774
10.91913208,17.26986189
5.005576954,8.946728605
0.748606806,1.089281388
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12.47409954,14.30979455
38.06051517,41.27718504
60.04279842,65.92784216
83.01420765,88.37288723
87.21196183,77.69646751
74.96229812,49.69974267
54.82813792,25.06443783
27.97406194,12.96756594
2.962260525,0.929178955
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.104817485,4.388561188
9.691680104,15.74340583
16.460577,23.42686045
21.67304431,25.78380219
24.32094846,22.61611343
23.3369399,19.0149053
17.55424475,10.31235118
8.175458898,3.868045518
1.372202124,0.166681984
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.237778743,2.080600556
6.7082188,9.677789939
12.96610382,21.36234324
20.8147783,31.72952402
29.4383778,33.19749517
34.34526147,33.77576469
31.02258771,29.94134799
15.87134156,13.79366525
2.346706882,1.783789655
0,0
0,0
0,0
0,0
0,0
0,0
0,0
