wind da,wind ac
8.925710266,3.024737192
8.405955684,2.942670679
7.788502872,4.740318105
7.303919653,4.775489468
6.975653601,3.728164446
8.08941342,3.677361366
9.433741061,4.173668373
9.023408496,6.119817109
8.194927508,12.86099496
7.84712181,10.06682559
8.167572004,9.668216812
9.58224237,8.429403259
10.69991012,4.896635273
10.90703036,5.998671304
10.85622729,4.736410176
10.11372074,4.705146743
8.80847239,3.767243738
7.675172926,4.720778459
6.866231584,7.929188323
5.764195553,9.703388175
4.314353824,8.468482551
3.157606784,5.287428192
2.723826644,4.501934425
2.751182149,4.86146391
5.43983743,4.537105788
5.725116261,6.029934738
5.127203095,7.257024503
4.451131346,7.425065458
3.884481613,8.870999257
3.286568447,8.441127047
2.766813865,7.976083473
2.372113017,12.51709719
2.145453124,10.08245731
2.032123178,7.456328891
2.403376451,7.452420962
2.735550432,6.491070382
2.680839423,2.708194928
3.087264059,1.965688382
4.470670991,1.934424948
8.796748603,1.711672984
12.47020204,1.696041268
13.76763453,1.938332877
14.95955293,2.692563211
17.13626949,2.774629724
19.87181992,3.212317793
23.06069014,4.458947204
27.18746336,7.870569385
32.17007308,11.39161358
32.56477393,17.57786549
41.09578334,16.70639728
50.9711204,33.33463598
59.51776154,42.68240259
67.27109305,58.19688147
74.56719684,70.15123686
81.03481965,86.07995623
86.59580288,105.9830396
92.75469928,106.788073
97.77638829,127.5040056
97.7099535,134.3116183
97.06123725,139.7514557
101.2583532,157.0948454
107.6048302,162.6636445
113.685568,177.7795146
124.393294,185.7829536
141.5647348,196.525851
157.6654031,197.9405213
169.1000039,216.00297
179.7569268,217.8944078
191.4299113,226.4801282
204.4276838,228.6060417
218.4532416,236.8869436
231.4353824,230.2551878
252.9993357,228.3285787
259.3340889,246.8717027
262.8316855,253.4604713
266.2433077,262.5933018
267.4313181,273.5784908
265.1647192,283.719567
258.3922779,281.6405487
244.5425769,278.5767322
222.8770175,275.0947673
193.8684591,267.8729141
159.3653523,227.7736527
124.1822658,197.4520302
97.14721169,144.7653289
85.29837039,118.6056509
86.88498964,99.96092071
85.22021181,107.7728712
76.97838915,106.6122162
72.30841377,103.2943843
71.43694556,95.61139552
69.35401931,79.88198054
64.91851968,72.20680761
61.70229395,87.92840674
63.84383915,76.27886983
70.00664348,57.89987885
78.33444058,54.53905975
76.07956544,55.74660987
76.50162179,65.61413107
78.96361718,65.51643284
84.06346477,77.77169878
89.30399781,78.74086522
92.95009574,78.08433311
96.13505803,81.56239009
99.08554457,82.31662042
103.9782719,96.34999414
99.56621986,114.4202587
82.60189925,98.47590762
72.78908906,93.59490406
69.32275587,76.53288522
62.67927625,66.69271953
53.3002462,53.42529993
46.32850053,44.94118567
